DAUID,characteristic,value
35211067,Population_2021,310.0
35211067,Total_households,85.0
35211067,Median_income_2020,95000.0
35211068,Population_2021,498.0
35211068,Total_households,155.0
35211068,Median_income_2020,97000.0
35211069,Population_2021,538.0
35211069,Total_households,160.0
35211069,Median_income_2020,86000.0
35211070,Population_2021,454.0
35211070,Total_households,125.0
35211070,Median_income_2020,87000.0
35211071,Population_2021,242.0
35211071,Total_households,70.0
35211071,Median_income_2020,
35211072,Population_2021,674.0
35211072,Total_households,195.0
35211072,Median_income_2020,91000.0
35211073,Population_2021,332.0
35211073,Total_households,85.0
35211073,Median_income_2020,82000.0
35211074,Population_2021,792.0
35211074,Total_households,245.0
35211074,Median_income_2020,93000.0
35211077,Population_2021,1383.0
35211077,Total_households,390.0
35211077,Median_income_2020,87000.0
35211078,Population_2021,300.0
35211078,Total_households,90.0
35211078,Median_income_2020,78000.0
35211079,Population_2021,655.0
35211079,Total_households,195.0
35211079,Median_income_2020,89000.0
35211080,Population_2021,290.0
35211080,Total_households,90.0
35211080,Median_income_2020,79500.0
35211081,Population_2021,554.0
35211081,Total_households,160.0
35211081,Median_income_2020,84000.0
35211082,Population_2021,306.0
35211082,Total_households,100.0
35211082,Median_income_2020,72500.0
35211083,Population_2021,252.0
35211083,Total_households,75.0
35211083,Median_income_2020,96000.0
35211084,Population_2021,1013.0
35211084,Total_households,370.0
35211084,Median_income_2020,58000.0
35211085,Population_2021,426.0
35211085,Total_households,125.0
35211085,Median_income_2020,95000.0
35211086,Population_2021,717.0
35211086,Total_households,215.0
35211086,Median_income_2020,91000.0
35211087,Population_2021,646.0
35211087,Total_households,180.0
35211087,Median_income_2020,80000.0
35211088,Population_2021,370.0
35211088,Total_households,105.0
35211088,Median_income_2020,91000.0
35211089,Population_2021,560.0
35211089,Total_households,180.0
35211089,Median_income_2020,79500.0
35211090,Population_2021,771.0
35211090,Total_households,210.0
35211090,Median_income_2020,91000.0
35211091,Population_2021,452.0
35211091,Total_households,120.0
35211091,Median_income_2020,101000.0
35211092,Population_2021,741.0
35211092,Total_households,215.0
35211092,Median_income_2020,91000.0
35211093,Population_2021,311.0
35211093,Total_households,100.0
35211093,Median_income_2020,79500.0
35211094,Population_2021,349.0
35211094,Total_households,90.0
35211094,Median_income_2020,82000.0
35211095,Population_2021,518.0
35211095,Total_households,155.0
35211095,Median_income_2020,96000.0
35211096,Population_2021,524.0
35211096,Total_households,160.0
35211096,Median_income_2020,96000.0
35211097,Population_2021,283.0
35211097,Total_households,85.0
35211097,Median_income_2020,86000.0
35211098,Population_2021,527.0
35211098,Total_households,150.0
35211098,Median_income_2020,102000.0
35211099,Population_2021,493.0
35211099,Total_households,150.0
35211099,Median_income_2020,90000.0
35211102,Population_2021,674.0
35211102,Total_households,200.0
35211102,Median_income_2020,85000.0
35211103,Population_2021,518.0
35211103,Total_households,140.0
35211103,Median_income_2020,85000.0
35211104,Population_2021,361.0
35211104,Total_households,115.0
35211104,Median_income_2020,104000.0
35211105,Population_2021,521.0
35211105,Total_households,160.0
35211105,Median_income_2020,71500.0
35211106,Population_2021,221.0
35211106,Total_households,65.0
35211106,Median_income_2020,
35211107,Population_2021,260.0
35211107,Total_households,75.0
35211107,Median_income_2020,98000.0
35211108,Population_2021,842.0
35211108,Total_households,235.0
35211108,Median_income_2020,101000.0
35211109,Population_2021,656.0
35211109,Total_households,190.0
35211109,Median_income_2020,92000.0
35211110,Population_2021,319.0
35211110,Total_households,105.0
35211110,Median_income_2020,83000.0
35211111,Population_2021,543.0
35211111,Total_households,165.0
35211111,Median_income_2020,92000.0
35211112,Population_2021,633.0
35211112,Total_households,170.0
35211112,Median_income_2020,94000.0
35211113,Population_2021,1606.0
35211113,Total_households,460.0
35211113,Median_income_2020,88000.0
35211114,Population_2021,702.0
35211114,Total_households,195.0
35211114,Median_income_2020,88000.0
35211336,Population_2021,474.0
35211336,Total_households,160.0
35211336,Median_income_2020,102000.0
35211337,Population_2021,341.0
35211337,Total_households,120.0
35211337,Median_income_2020,90000.0
35211338,Population_2021,258.0
35211338,Total_households,90.0
35211338,Median_income_2020,92000.0
35211339,Population_2021,323.0
35211339,Total_households,110.0
35211339,Median_income_2020,107000.0
35211415,Population_2021,679.0
35211415,Total_households,320.0
35211415,Median_income_2020,59200.0
35211416,Population_2021,1875.0
35211416,Total_households,670.0
35211416,Median_income_2020,83000.0
35211417,Population_2021,1445.0
35211417,Total_households,570.0
35211417,Median_income_2020,84000.0
35211419,Population_2021,1184.0
35211419,Total_households,455.0
35211419,Median_income_2020,63600.0
35211421,Population_2021,1591.0
35211421,Total_households,540.0
35211421,Median_income_2020,84000.0
35211422,Population_2021,1156.0
35211422,Total_households,410.0
35211422,Median_income_2020,75000.0
35211425,Population_2021,928.0
35211425,Total_households,255.0
35211425,Median_income_2020,166000.0
35211426,Population_2021,1655.0
35211426,Total_households,760.0
35211426,Median_income_2020,72500.0
35211428,Population_2021,1400.0
35211428,Total_households,325.0
35211428,Median_income_2020,152000.0
35211430,Population_2021,1153.0
35211430,Total_households,365.0
35211430,Median_income_2020,130000.0
35211432,Population_2021,1378.0
35211432,Total_households,675.0
35211432,Median_income_2020,63200.0
35211439,Population_2021,1536.0
35211439,Total_households,685.0
35211439,Median_income_2020,51200.0
35211440,Population_2021,1332.0
35211440,Total_households,415.0
35211440,Median_income_2020,103000.0
35211442,Population_2021,1523.0
35211442,Total_households,635.0
35211442,Median_income_2020,61200.0
35211443,Population_2021,1588.0
35211443,Total_households,565.0
35211443,Median_income_2020,67500.0
35211444,Population_2021,628.0
35211444,Total_households,210.0
35211444,Median_income_2020,174000.0
35211446,Population_2021,1095.0
35211446,Total_households,355.0
35211446,Median_income_2020,114000.0
35211447,Population_2021,1634.0
35211447,Total_households,650.0
35211447,Median_income_2020,60800.0
35211448,Population_2021,935.0
35211448,Total_households,430.0
35211448,Median_income_2020,35200.0
35211459,Population_2021,941.0
35211459,Total_households,385.0
35211459,Median_income_2020,74000.0
35211464,Population_2021,1291.0
35211464,Total_households,495.0
35211464,Median_income_2020,72500.0
35211465,Population_2021,1273.0
35211465,Total_households,470.0
35211465,Median_income_2020,125000.0
35211466,Population_2021,1247.0
35211466,Total_households,480.0
35211466,Median_income_2020,81000.0
35211473,Population_2021,698.0
35211473,Total_households,250.0
35211473,Median_income_2020,110000.0
35211474,Population_2021,991.0
35211474,Total_households,390.0
35211474,Median_income_2020,56000.0
35211475,Population_2021,434.0
35211475,Total_households,245.0
35211475,Median_income_2020,63200.0
35211476,Population_2021,4419.0
35211476,Total_households,1880.0
35211476,Median_income_2020,78000.0
35211477,Population_2021,722.0
35211477,Total_households,210.0
35211477,Median_income_2020,117000.0
35211478,Population_2021,746.0
35211478,Total_households,230.0
35211478,Median_income_2020,133000.0
35211479,Population_2021,603.0
35211479,Total_households,180.0
35211479,Median_income_2020,144000.0
35211480,Population_2021,752.0
35211480,Total_households,270.0
35211480,Median_income_2020,116000.0
35211481,Population_2021,541.0
35211481,Total_households,180.0
35211481,Median_income_2020,118000.0
35211482,Population_2021,1165.0
35211482,Total_households,405.0
35211482,Median_income_2020,121000.0
35211484,Population_2021,779.0
35211484,Total_households,215.0
35211484,Median_income_2020,138000.0
35211485,Population_2021,423.0
35211485,Total_households,125.0
35211485,Median_income_2020,162000.0
35211486,Population_2021,731.0
35211486,Total_households,210.0
35211486,Median_income_2020,120000.0
35211487,Population_2021,1101.0
35211487,Total_households,335.0
35211487,Median_income_2020,226000.0
35211488,Population_2021,900.0
35211488,Total_households,240.0
35211488,Median_income_2020,143000.0
35211489,Population_2021,466.0
35211489,Total_households,185.0
35211489,Median_income_2020,81000.0
35211490,Population_2021,418.0
35211490,Total_households,165.0
35211490,Median_income_2020,99000.0
35211491,Population_2021,834.0
35211491,Total_households,305.0
35211491,Median_income_2020,134000.0
35211492,Population_2021,721.0
35211492,Total_households,255.0
35211492,Median_income_2020,146000.0
35211493,Population_2021,639.0
35211493,Total_households,170.0
35211493,Median_income_2020,118000.0
35211496,Population_2021,1547.0
35211496,Total_households,605.0
35211496,Median_income_2020,99000.0
35211505,Population_2021,252.0
35211505,Total_households,90.0
35211505,Median_income_2020,102000.0
35211506,Population_2021,1101.0
35211506,Total_households,375.0
35211506,Median_income_2020,104000.0
35211507,Population_2021,678.0
35211507,Total_households,185.0
35211507,Median_income_2020,158000.0
35211508,Population_2021,622.0
35211508,Total_households,185.0
35211508,Median_income_2020,121000.0
35211509,Population_2021,736.0
35211509,Total_households,240.0
35211509,Median_income_2020,141000.0
35211510,Population_2021,844.0
35211510,Total_households,275.0
35211510,Median_income_2020,121000.0
35211511,Population_2021,453.0
35211511,Total_households,125.0
35211511,Median_income_2020,144000.0
35211513,Population_2021,750.0
35211513,Total_households,210.0
35211513,Median_income_2020,198000.0
35211514,Population_2021,408.0
35211514,Total_households,115.0
35211514,Median_income_2020,151000.0
35211515,Population_2021,513.0
35211515,Total_households,145.0
35211515,Median_income_2020,135000.0
35211516,Population_2021,553.0
35211516,Total_households,155.0
35211516,Median_income_2020,136000.0
35211517,Population_2021,459.0
35211517,Total_households,120.0
35211517,Median_income_2020,142000.0
35211518,Population_2021,1875.0
35211518,Total_households,570.0
35211518,Median_income_2020,131000.0
35211519,Population_2021,361.0
35211519,Total_households,110.0
35211519,Median_income_2020,127000.0
35211520,Population_2021,445.0
35211520,Total_households,110.0
35211520,Median_income_2020,198000.0
35211521,Population_2021,678.0
35211521,Total_households,190.0
35211521,Median_income_2020,192000.0
35211522,Population_2021,597.0
35211522,Total_households,175.0
35211522,Median_income_2020,138000.0
35211523,Population_2021,477.0
35211523,Total_households,195.0
35211523,Median_income_2020,56800.0
35211524,Population_2021,622.0
35211524,Total_households,175.0
35211524,Median_income_2020,125000.0
35211525,Population_2021,477.0
35211525,Total_households,130.0
35211525,Median_income_2020,144000.0
35211526,Population_2021,999.0
35211526,Total_households,260.0
35211526,Median_income_2020,153000.0
35211527,Population_2021,864.0
35211527,Total_households,265.0
35211527,Median_income_2020,101000.0
35211559,Population_2021,1183.0
35211559,Total_households,345.0
35211559,Median_income_2020,129000.0
35211561,Population_2021,151.0
35211561,Total_households,45.0
35211561,Median_income_2020,
35211565,Population_2021,436.0
35211565,Total_households,140.0
35211565,Median_income_2020,111000.0
35211566,Population_2021,1159.0
35211566,Total_households,460.0
35211566,Median_income_2020,74500.0
35211567,Population_2021,999.0
35211567,Total_households,290.0
35211567,Median_income_2020,159000.0
35211568,Population_2021,560.0
35211568,Total_households,185.0
35211568,Median_income_2020,137000.0
35211590,Population_2021,602.0
35211590,Total_households,175.0
35211590,Median_income_2020,125000.0
35211591,Population_2021,864.0
35211591,Total_households,250.0
35211591,Median_income_2020,144000.0
35211592,Population_2021,836.0
35211592,Total_households,225.0
35211592,Median_income_2020,133000.0
35211593,Population_2021,743.0
35211593,Total_households,210.0
35211593,Median_income_2020,127000.0
35211597,Population_2021,1832.0
35211597,Total_households,725.0
35211597,Median_income_2020,85000.0
35211598,Population_2021,1230.0
35211598,Total_households,345.0
35211598,Median_income_2020,152000.0
35211599,Population_2021,1274.0
35211599,Total_households,360.0
35211599,Median_income_2020,162000.0
35211696,Population_2021,446.0
35211696,Total_households,135.0
35211696,Median_income_2020,68000.0
35211697,Population_2021,1332.0
35211697,Total_households,385.0
35211697,Median_income_2020,94000.0
35211702,Population_2021,1137.0
35211702,Total_households,285.0
35211702,Median_income_2020,144000.0
35211718,Population_2021,1067.0
35211718,Total_households,275.0
35211718,Median_income_2020,129000.0
35211719,Population_2021,784.0
35211719,Total_households,195.0
35211719,Median_income_2020,134000.0
35211720,Population_2021,610.0
35211720,Total_households,170.0
35211720,Median_income_2020,153000.0
35211721,Population_2021,743.0
35211721,Total_households,200.0
35211721,Median_income_2020,125000.0
35211723,Population_2021,692.0
35211723,Total_households,180.0
35211723,Median_income_2020,130000.0
35211724,Population_2021,787.0
35211724,Total_households,205.0
35211724,Median_income_2020,132000.0
35211725,Population_2021,666.0
35211725,Total_households,185.0
35211725,Median_income_2020,134000.0
35211726,Population_2021,828.0
35211726,Total_households,205.0
35211726,Median_income_2020,158000.0
35211727,Population_2021,1166.0
35211727,Total_households,335.0
35211727,Median_income_2020,139000.0
35211728,Population_2021,539.0
35211728,Total_households,130.0
35211728,Median_income_2020,113000.0
35211729,Population_2021,676.0
35211729,Total_households,190.0
35211729,Median_income_2020,159000.0
35211730,Population_2021,781.0
35211730,Total_households,205.0
35211730,Median_income_2020,156000.0
35211731,Population_2021,791.0
35211731,Total_households,225.0
35211731,Median_income_2020,164000.0
35211732,Population_2021,1049.0
35211732,Total_households,250.0
35211732,Median_income_2020,194000.0
35211733,Population_2021,659.0
35211733,Total_households,170.0
35211733,Median_income_2020,202000.0
35211734,Population_2021,1638.0
35211734,Total_households,455.0
35211734,Median_income_2020,139000.0
35211735,Population_2021,1196.0
35211735,Total_households,325.0
35211735,Median_income_2020,166000.0
35211737,Population_2021,635.0
35211737,Total_households,175.0
35211737,Median_income_2020,148000.0
35211738,Population_2021,770.0
35211738,Total_households,230.0
35211738,Median_income_2020,121000.0
35211739,Population_2021,721.0
35211739,Total_households,235.0
35211739,Median_income_2020,151000.0
35211740,Population_2021,688.0
35211740,Total_households,190.0
35211740,Median_income_2020,164000.0
35211741,Population_2021,602.0
35211741,Total_households,175.0
35211741,Median_income_2020,170000.0
35211742,Population_2021,456.0
35211742,Total_households,130.0
35211742,Median_income_2020,186000.0
35211743,Population_2021,1221.0
35211743,Total_households,360.0
35211743,Median_income_2020,155000.0
35211744,Population_2021,864.0
35211744,Total_households,230.0
35211744,Median_income_2020,153000.0
35211745,Population_2021,793.0
35211745,Total_households,210.0
35211745,Median_income_2020,136000.0
35211746,Population_2021,554.0
35211746,Total_households,150.0
35211746,Median_income_2020,124000.0
35211747,Population_2021,518.0
35211747,Total_households,135.0
35211747,Median_income_2020,142000.0
35211814,Population_2021,556.0
35211814,Total_households,140.0
35211814,Median_income_2020,127000.0
35211815,Population_2021,439.0
35211815,Total_households,110.0
35211815,Median_income_2020,130000.0
35211816,Population_2021,837.0
35211816,Total_households,210.0
35211816,Median_income_2020,133000.0
35211817,Population_2021,635.0
35211817,Total_households,170.0
35211817,Median_income_2020,128000.0
35211818,Population_2021,628.0
35211818,Total_households,120.0
35211818,Median_income_2020,132000.0
35211819,Population_2021,803.0
35211819,Total_households,210.0
35211819,Median_income_2020,125000.0
35211820,Population_2021,653.0
35211820,Total_households,180.0
35211820,Median_income_2020,120000.0
35211821,Population_2021,764.0
35211821,Total_households,195.0
35211821,Median_income_2020,129000.0
35211822,Population_2021,1844.0
35211822,Total_households,510.0
35211822,Median_income_2020,126000.0
35211823,Population_2021,1818.0
35211823,Total_households,580.0
35211823,Median_income_2020,97000.0
35211824,Population_2021,567.0
35211824,Total_households,155.0
35211824,Median_income_2020,151000.0
35211825,Population_2021,746.0
35211825,Total_households,220.0
35211825,Median_income_2020,118000.0
35211828,Population_2021,1093.0
35211828,Total_households,480.0
35211828,Median_income_2020,81000.0
35211830,Population_2021,1784.0
35211830,Total_households,735.0
35211830,Median_income_2020,77500.0
35211831,Population_2021,933.0
35211831,Total_households,540.0
35211831,Median_income_2020,29400.0
35211832,Population_2021,956.0
35211832,Total_households,325.0
35211832,Median_income_2020,111000.0
35211833,Population_2021,1311.0
35211833,Total_households,375.0
35211833,Median_income_2020,138000.0
35211834,Population_2021,450.0
35211834,Total_households,145.0
35211834,Median_income_2020,145000.0
35211835,Population_2021,597.0
35211835,Total_households,175.0
35211835,Median_income_2020,132000.0
35211836,Population_2021,1847.0
35211836,Total_households,735.0
35211836,Median_income_2020,105000.0
35211837,Population_2021,1325.0
35211837,Total_households,340.0
35211837,Median_income_2020,133000.0
35211838,Population_2021,782.0
35211838,Total_households,200.0
35211838,Median_income_2020,149000.0
35211839,Population_2021,1002.0
35211839,Total_households,265.0
35211839,Median_income_2020,138000.0
35211840,Population_2021,1310.0
35211840,Total_households,395.0
35211840,Median_income_2020,127000.0
35211841,Population_2021,443.0
35211841,Total_households,130.0
35211841,Median_income_2020,123000.0
35211842,Population_2021,500.0
35211842,Total_households,135.0
35211842,Median_income_2020,162000.0
35211843,Population_2021,1415.0
35211843,Total_households,390.0
35211843,Median_income_2020,147000.0
35211844,Population_2021,615.0
35211844,Total_households,170.0
35211844,Median_income_2020,146000.0
35211845,Population_2021,430.0
35211845,Total_households,120.0
35211845,Median_income_2020,152000.0
35211847,Population_2021,833.0
35211847,Total_households,220.0
35211847,Median_income_2020,135000.0
35211848,Population_2021,1145.0
35211848,Total_households,285.0
35211848,Median_income_2020,135000.0
35211849,Population_2021,625.0
35211849,Total_households,190.0
35211849,Median_income_2020,164000.0
35211850,Population_2021,807.0
35211850,Total_households,255.0
35211850,Median_income_2020,158000.0
35211851,Population_2021,642.0
35211851,Total_households,200.0
35211851,Median_income_2020,136000.0
35211852,Population_2021,824.0
35211852,Total_households,235.0
35211852,Median_income_2020,153000.0
35211853,Population_2021,1003.0
35211853,Total_households,260.0
35211853,Median_income_2020,130000.0
35211854,Population_2021,921.0
35211854,Total_households,250.0
35211854,Median_income_2020,129000.0
35211855,Population_2021,916.0
35211855,Total_households,240.0
35211855,Median_income_2020,124000.0
35211856,Population_2021,936.0
35211856,Total_households,260.0
35211856,Median_income_2020,149000.0
35211857,Population_2021,1126.0
35211857,Total_households,290.0
35211857,Median_income_2020,130000.0
35211859,Population_2021,778.0
35211859,Total_households,220.0
35211859,Median_income_2020,112000.0
35211860,Population_2021,1244.0
35211860,Total_households,330.0
35211860,Median_income_2020,131000.0
35211861,Population_2021,1243.0
35211861,Total_households,335.0
35211861,Median_income_2020,152000.0
35211863,Population_2021,729.0
35211863,Total_households,200.0
35211863,Median_income_2020,137000.0
35211864,Population_2021,784.0
35211864,Total_households,230.0
35211864,Median_income_2020,132000.0
35211868,Population_2021,982.0
35211868,Total_households,265.0
35211868,Median_income_2020,132000.0
35211923,Population_2021,854.0
35211923,Total_households,215.0
35211923,Median_income_2020,118000.0
35211924,Population_2021,549.0
35211924,Total_households,140.0
35211924,Median_income_2020,126000.0
35211925,Population_2021,361.0
35211925,Total_households,90.0
35211925,Median_income_2020,143000.0
35211926,Population_2021,451.0
35211926,Total_households,115.0
35211926,Median_income_2020,126000.0
35211927,Population_2021,835.0
35211927,Total_households,215.0
35211927,Median_income_2020,147000.0
35211928,Population_2021,314.0
35211928,Total_households,80.0
35211928,Median_income_2020,140000.0
35211930,Population_2021,673.0
35211930,Total_households,185.0
35211930,Median_income_2020,123000.0
35211931,Population_2021,557.0
35211931,Total_households,140.0
35211931,Median_income_2020,148000.0
35211932,Population_2021,620.0
35211932,Total_households,165.0
35211932,Median_income_2020,139000.0
35211933,Population_2021,721.0
35211933,Total_households,190.0
35211933,Median_income_2020,149000.0
35211934,Population_2021,789.0
35211934,Total_households,210.0
35211934,Median_income_2020,152000.0
35211935,Population_2021,661.0
35211935,Total_households,175.0
35211935,Median_income_2020,147000.0
35211936,Population_2021,456.0
35211936,Total_households,130.0
35211936,Median_income_2020,244000.0
35211937,Population_2021,1709.0
35211937,Total_households,525.0
35211937,Median_income_2020,240000.0
35211938,Population_2021,815.0
35211938,Total_households,295.0
35211938,Median_income_2020,74500.0
35211939,Population_2021,0.0
35211939,Total_households,
35211939,Median_income_2020,
35211940,Population_2021,838.0
35211940,Total_households,305.0
35211940,Median_income_2020,62000.0
35211942,Population_2021,665.0
35211942,Total_households,190.0
35211942,Median_income_2020,135000.0
35211944,Population_2021,663.0
35211944,Total_households,190.0
35211944,Median_income_2020,135000.0
35211945,Population_2021,443.0
35211945,Total_households,120.0
35211945,Median_income_2020,130000.0
35211946,Population_2021,725.0
35211946,Total_households,265.0
35211946,Median_income_2020,57600.0
35211947,Population_2021,530.0
35211947,Total_households,170.0
35211947,Median_income_2020,116000.0
35211948,Population_2021,804.0
35211948,Total_households,230.0
35211948,Median_income_2020,130000.0
35211949,Population_2021,1460.0
35211949,Total_households,530.0
35211949,Median_income_2020,90000.0
35211950,Population_2021,661.0
35211950,Total_households,165.0
35211950,Median_income_2020,127000.0
35211951,Population_2021,571.0
35211951,Total_households,170.0
35211951,Median_income_2020,113000.0
35211952,Population_2021,473.0
35211952,Total_households,125.0
35211952,Median_income_2020,117000.0
35211953,Population_2021,510.0
35211953,Total_households,130.0
35211953,Median_income_2020,162000.0
35211954,Population_2021,675.0
35211954,Total_households,175.0
35211954,Median_income_2020,140000.0
35211955,Population_2021,742.0
35211955,Total_households,200.0
35211955,Median_income_2020,113000.0
35211956,Population_2021,740.0
35211956,Total_households,195.0
35211956,Median_income_2020,127000.0
35211957,Population_2021,660.0
35211957,Total_households,180.0
35211957,Median_income_2020,123000.0
35211958,Population_2021,572.0
35211958,Total_households,150.0
35211958,Median_income_2020,160000.0
35211959,Population_2021,579.0
35211959,Total_households,160.0
35211959,Median_income_2020,148000.0
35211960,Population_2021,440.0
35211960,Total_households,130.0
35211960,Median_income_2020,136000.0
35211965,Population_2021,449.0
35211965,Total_households,120.0
35211965,Median_income_2020,129000.0
35211966,Population_2021,507.0
35211966,Total_households,130.0
35211966,Median_income_2020,126000.0
35211967,Population_2021,622.0
35211967,Total_households,165.0
35211967,Median_income_2020,129000.0
35211968,Population_2021,656.0
35211968,Total_households,200.0
35211968,Median_income_2020,111000.0
35211969,Population_2021,572.0
35211969,Total_households,150.0
35211969,Median_income_2020,129000.0
35211970,Population_2021,701.0
35211970,Total_households,185.0
35211970,Median_income_2020,149000.0
35211971,Population_2021,678.0
35211971,Total_households,180.0
35211971,Median_income_2020,131000.0
35211972,Population_2021,1852.0
35211972,Total_households,640.0
35211972,Median_income_2020,97000.0
35211975,Population_2021,757.0
35211975,Total_households,200.0
35211975,Median_income_2020,123000.0
35211976,Population_2021,444.0
35211976,Total_households,115.0
35211976,Median_income_2020,129000.0
35211977,Population_2021,426.0
35211977,Total_households,110.0
35211977,Median_income_2020,123000.0
35211978,Population_2021,529.0
35211978,Total_households,170.0
35211978,Median_income_2020,123000.0
35211979,Population_2021,1221.0
35211979,Total_households,420.0
35211979,Median_income_2020,107000.0
35211981,Population_2021,5010.0
35211981,Total_households,1955.0
35211981,Median_income_2020,76500.0
35211983,Population_2021,1383.0
35211983,Total_households,610.0
35211983,Median_income_2020,49600.0
35212005,Population_2021,781.0
35212005,Total_households,210.0
35212005,Median_income_2020,137000.0
35212006,Population_2021,358.0
35212006,Total_households,95.0
35212006,Median_income_2020,180000.0
35212007,Population_2021,1981.0
35212007,Total_households,950.0
35212007,Median_income_2020,81000.0
35212009,Population_2021,4686.0
35212009,Total_households,2165.0
35212009,Median_income_2020,82000.0
35212011,Population_2021,1763.0
35212011,Total_households,480.0
35212011,Median_income_2020,103000.0
35212012,Population_2021,1847.0
35212012,Total_households,755.0
35212012,Median_income_2020,86000.0
35212013,Population_2021,270.0
35212013,Total_households,75.0
35212013,Median_income_2020,158000.0
35212014,Population_2021,203.0
35212014,Total_households,55.0
35212014,Median_income_2020,
35212021,Population_2021,117.0
35212021,Total_households,15.0
35212021,Median_income_2020,
35212022,Population_2021,1579.0
35212022,Total_households,465.0
35212022,Median_income_2020,132000.0
35212023,Population_2021,481.0
35212023,Total_households,135.0
35212023,Median_income_2020,127000.0
35212024,Population_2021,488.0
35212024,Total_households,145.0
35212024,Median_income_2020,126000.0
35212025,Population_2021,391.0
35212025,Total_households,120.0
35212025,Median_income_2020,149000.0
35212044,Population_2021,1146.0
35212044,Total_households,300.0
35212044,Median_income_2020,143000.0
35212045,Population_2021,2007.0
35212045,Total_households,515.0
35212045,Median_income_2020,145000.0
35212050,Population_2021,655.0
35212050,Total_households,230.0
35212050,Median_income_2020,127000.0
35212051,Population_2021,703.0
35212051,Total_households,210.0
35212051,Median_income_2020,146000.0
35212052,Population_2021,1216.0
35212052,Total_households,345.0
35212052,Median_income_2020,136000.0
35212053,Population_2021,543.0
35212053,Total_households,155.0
35212053,Median_income_2020,139000.0
35212059,Population_2021,623.0
35212059,Total_households,165.0
35212059,Median_income_2020,159000.0
35212060,Population_2021,669.0
35212060,Total_households,180.0
35212060,Median_income_2020,159000.0
35212062,Population_2021,4674.0
35212062,Total_households,1250.0
35212062,Median_income_2020,128000.0
35212074,Population_2021,1980.0
35212074,Total_households,545.0
35212074,Median_income_2020,117000.0
35212075,Population_2021,1608.0
35212075,Total_households,410.0
35212075,Median_income_2020,121000.0
35212076,Population_2021,459.0
35212076,Total_households,10.0
35212076,Median_income_2020,
35212077,Population_2021,1456.0
35212077,Total_households,485.0
35212077,Median_income_2020,113000.0
35212078,Population_2021,440.0
35212078,Total_households,125.0
35212078,Median_income_2020,168000.0
35212079,Population_2021,942.0
35212079,Total_households,370.0
35212079,Median_income_2020,54000.0
35212080,Population_2021,367.0
35212080,Total_households,120.0
35212080,Median_income_2020,117000.0
35212081,Population_2021,1180.0
35212081,Total_households,430.0
35212081,Median_income_2020,68000.0
35212082,Population_2021,764.0
35212082,Total_households,320.0
35212082,Median_income_2020,65000.0
35212083,Population_2021,940.0
35212083,Total_households,310.0
35212083,Median_income_2020,62800.0
35212086,Population_2021,404.0
35212086,Total_households,105.0
35212086,Median_income_2020,133000.0
35212087,Population_2021,339.0
35212087,Total_households,85.0
35212087,Median_income_2020,118000.0
35212088,Population_2021,928.0
35212088,Total_households,250.0
35212088,Median_income_2020,126000.0
35212094,Population_2021,1838.0
35212094,Total_households,630.0
35212094,Median_income_2020,77500.0
35212095,Population_2021,469.0
35212095,Total_households,160.0
35212095,Median_income_2020,145000.0
35212100,Population_2021,906.0
35212100,Total_households,250.0
35212100,Median_income_2020,123000.0
35212101,Population_2021,776.0
35212101,Total_households,215.0
35212101,Median_income_2020,120000.0
35212102,Population_2021,1306.0
35212102,Total_households,685.0
35212102,Median_income_2020,106000.0
35212103,Population_2021,507.0
35212103,Total_households,180.0
35212103,Median_income_2020,102000.0
35212106,Population_2021,474.0
35212106,Total_households,155.0
35212106,Median_income_2020,180000.0
35212107,Population_2021,964.0
35212107,Total_households,320.0
35212107,Median_income_2020,220000.0
35212108,Population_2021,648.0
35212108,Total_households,335.0
35212108,Median_income_2020,58000.0
35212109,Population_2021,738.0
35212109,Total_households,260.0
35212109,Median_income_2020,111000.0
35212110,Population_2021,794.0
35212110,Total_households,265.0
35212110,Median_income_2020,115000.0
35212111,Population_2021,545.0
35212111,Total_households,215.0
35212111,Median_income_2020,98000.0
35212112,Population_2021,330.0
35212112,Total_households,95.0
35212112,Median_income_2020,109000.0
35212113,Population_2021,1096.0
35212113,Total_households,370.0
35212113,Median_income_2020,96000.0
35212114,Population_2021,777.0
35212114,Total_households,210.0
35212114,Median_income_2020,118000.0
35212115,Population_2021,629.0
35212115,Total_households,170.0
35212115,Median_income_2020,139000.0
35212116,Population_2021,1092.0
35212116,Total_households,345.0
35212116,Median_income_2020,74000.0
35212117,Population_2021,1323.0
35212117,Total_households,460.0
35212117,Median_income_2020,72500.0
35212118,Population_2021,1265.0
35212118,Total_households,490.0
35212118,Median_income_2020,63600.0
35212120,Population_2021,571.0
35212120,Total_households,160.0
35212120,Median_income_2020,146000.0
35212121,Population_2021,1306.0
35212121,Total_households,440.0
35212121,Median_income_2020,121000.0
35212141,Population_2021,4518.0
35212141,Total_households,1440.0
35212141,Median_income_2020,99000.0
35212275,Population_2021,2935.0
35212275,Total_households,685.0
35212275,Median_income_2020,140000.0
35212276,Population_2021,409.0
35212276,Total_households,100.0
35212276,Median_income_2020,144000.0
35212278,Population_2021,2766.0
35212278,Total_households,705.0
35212278,Median_income_2020,132000.0
35212280,Population_2021,956.0
35212280,Total_households,270.0
35212280,Median_income_2020,142000.0
35212282,Population_2021,0.0
35212282,Total_households,
35212282,Median_income_2020,
35212283,Population_2021,2226.0
35212283,Total_households,985.0
